,,,,,,,,,,
,,,,,,,,,,

 Bank NameUPI QR Codes,Credit Cards,Debit Cards
,1,BANK OF BARODA,,,,,,1224102,1980091,84561128
,2,BANK OF INDIA,,,,,,685458,77016,48458435
,3,BANK OF MAHARASHTRA,,,,,,1097927,33177,13464186
,4,CANARA BANK,,,,,,2456932,634406,51407210
,5,CENTRAL BANK OF INDIA,,,,,,696820,0,28565416
,6,INDIAN BANK,,,,,,2889102,169845,32000371
,7,INDIAN OVERSEAS BANK,,,,,,263550,81323,16848672
,8,PUNJAB AND SIND BANK,,,,,,41046,0,3839663
,9,PUNJAB NATIONAL BANK,,,,,,320689,332584,41368381
,10,STATE BANK OF INDIA,,,,,,2476109,17138124,273671877
,11,UCO BANK,,,,,,644146,0,12411696
,12,UNION BANK OF INDIA,,,,,,267994,673530,51217016
,13,AXIS BANK LTD,,,,,,60314324,12468704,31218025
,14,BANDHAN BANK LTD,,,,,,0,0,5483090
,15,CITY UNION BANK LTD.,,,,,,48563,7950,2768747
,16,CSB BANK LTD.,,,,,,0,15821,895532
,17,DCB BANK LTD,,,,,,0,0,678165
,18,DHANALAKSHMI BANK LTD,,,,,,28972,9166,539969
,19,FEDERAL BANK LTD,,,,,,4117094,634126,12991108
,20,HDFC BANK LTD,,,,,,0,18122628,51668209
,21,ICICI BANK LTD,,,,,,3138866,14679475,32635119
,22,IDBI BANK LTD,,,,,,232162,43918,11339414
,23,IDFC FIRST BANK LTD,,,,,,38079,1624970,6446245
,24,INDUSIND BANK LTD,,,,,,3440642,2327416,8638980
,25,JAMMU AND KASHMIR BANK LTD,,,,,,145736,94720,3938376
,26,KARNATAKA BANK LTD,,,,,,53360,0,5237653
,27,KARUR VYSYA BANK LTD,,,,,,25692,10924,4352602
,28,KOTAK MAHINDRA BANK LTD,,,,,,441086,5115403,29126232
,29,NAINITAL BANK LTD,,,,,,0,0,211221
,30,RBL BANK LTD,,,,,,82040,4562457,1651712
,31,SOUTH INDIAN BANK,,,,,,78394,227527,3688520
,32,TAMILNAD MERCANTILE BANK LTD,,,,,,86463,40703,2203377
,33,YES BANK LTD,,,,,,144169628,1449755,4569186
,34,AMERICAN EXPRESS BANKING CORPORATION,,,,,,0,1347707,0
,35,BANK OF AMERICA,,,,,,0,3,0
,36,BARCLAYS BANK PLC,,,,,,0,0,919
,37,CITI BANK,,,,,,0,162150,0
,38,DBS INDIA BANK LTD,,,,,,3986,284539,1912237
,39,DEUTSCHE BANK LTD,,,,,,8,0,116797
,40,HSBC LTD,,,,,,0,696880,600301
 ,41,SBM BANK INDIA LTD,,,,,,0,1068500,652383
,42,STANDARD CHARTERED BANK LTD,,,,,,0,1054846,1135973
,43,WOORI BANK,,,,,,0,0,1003
,44,AIRTEL PAYMENTS BANK,,,,,,4232137,0,4972682
,45,FINO PAYMENTS BANK,,,,,,17415,0,7018497
,46,INDIA POST PAYMENTS BANK,,,,,,207401,0,10464947
,47,JIO PAYMENTS BANK ,,,,,,9379,0,0
,48,NSDL PAYMENTS BANK,,,,,,0,0,585049
,49,PAYTM PAYMENTS BANK,,,,,,30770480,0,38085853
,Small Finance Banks,,,,,,,,,
,50,AU SMALL FINANCE BANK LTD,,,,,,1066782,576927,2564004
,51,CAPITAL SMALL FINANCE BANK LTD,,,,,,0,0,252024
,52,EQUITAS SMALL FINANCE BANK LTD,,,,,,0,0,3352093
,53,ESAF SMALL FINANCE BANK LTD,,,,,,0,0,4964578
,54,FINCARE SMALL FINANCE BANK LTD,,,,,,10138,0,4628548
,55,JANA SMALL FINANCE BANK LTD,,,,,,494822,0,2830420
,56,NORTH EAST SMALL FINANCE BANK LTD,,,,,,0,0,393695
,57,SHIVALIK SMALL FINANCE BANK LTD,,,,,,0,0,86552
,58,SURYODAY SMALL FINANCE BANK LTD,,,,,,0,0,585684
,59,UJJIVAN SMALL FINANCE BANK LTD,,,,,,420538,0,8972099
,60,UNITY SMALL FINANCE BANK LTD,,,,,,0,0,0
,61,UTKARSH SMALL FINANCE BANK LTD,,,,,,18995,0,1654364

